url,bucket,status,final_status,hops,final_url,redirect_chain,canonical,self_canonical,meta_robots,x_robots_tag,content_type,title,h1,h1_count,in_sitemap,inbound_count
https://www.oligopolypeptides.com/?add-to-cart=60,Alternate page with proper canonical tag,200,200,0,https://www.oligopolypeptides.com/?add-to-cart=60,,https://www.oligopolypeptides.com/,False,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",,text/html,Research Peptides & Laboratory Products | OligoPoly,Unlock 20% Off Your First OligoPoly Order,2,False,2
https://www.oligopolypeptides.com/?add-to-cart=63,Alternate page with proper canonical tag,200,200,0,https://www.oligopolypeptides.com/?add-to-cart=63,,https://www.oligopolypeptides.com/,False,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",,text/html,Research Peptides & Laboratory Products | OligoPoly,Unlock 20% Off Your First OligoPoly Order,2,False,1
https://www.oligopolypeptides.com/?add-to-cart=815,Alternate page with proper canonical tag,200,200,0,https://www.oligopolypeptides.com/?add-to-cart=815,,https://www.oligopolypeptides.com/,False,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",,text/html,Research Peptides & Laboratory Products | OligoPoly,Unlock 20% Off Your First OligoPoly Order,2,False,2
https://www.oligopolypeptides.com/?opl7_pdf=batch-verification,Duplicate without user-selected canonical,200,200,0,https://www.oligopolypeptides.com/?opl7_pdf=batch-verification,,,False,,,application/pdf,,,0,False,1
https://www.oligopolypeptides.com/?opl7_pdf=coa-guide,Duplicate without user-selected canonical,200,200,0,https://www.oligopolypeptides.com/?opl7_pdf=coa-guide,,,False,,,application/pdf,,,0,False,1
https://www.oligopolypeptides.com/?opl7_pdf=documentation-downloads,Duplicate without user-selected canonical,200,200,0,https://www.oligopolypeptides.com/?opl7_pdf=documentation-downloads,,,False,,,application/pdf,,,0,False,1
https://www.oligopolypeptides.com/?opl7_pdf=research-article&item=2074,Duplicate without user-selected canonical,200,200,0,https://www.oligopolypeptides.com/?opl7_pdf=research-article&item=2074,,,False,,,application/pdf,,,0,False,1
https://www.oligopolypeptides.com/?opl7_pdf=research-article&item=2075,Duplicate without user-selected canonical,200,200,0,https://www.oligopolypeptides.com/?opl7_pdf=research-article&item=2075,,,False,,,application/pdf,,,0,False,1
https://www.oligopolypeptides.com/?opl7_pdf=research-article&item=2076,Duplicate without user-selected canonical,200,200,0,https://www.oligopolypeptides.com/?opl7_pdf=research-article&item=2076,,,False,,,application/pdf,,,0,False,1
https://www.oligopolypeptides.com/?opl7_pdf=research-article&item=2215,Duplicate without user-selected canonical,200,200,0,https://www.oligopolypeptides.com/?opl7_pdf=research-article&item=2215,,,False,,,application/pdf,,,0,False,1
https://www.oligopolypeptides.com/?opl7_pdf=research-article&item=2216,Duplicate without user-selected canonical,200,200,0,https://www.oligopolypeptides.com/?opl7_pdf=research-article&item=2216,,,False,,,application/pdf,,,0,False,1
https://www.oligopolypeptides.com/?opl7_pdf=research-article&item=2236,Duplicate without user-selected canonical,200,200,0,https://www.oligopolypeptides.com/?opl7_pdf=research-article&item=2236,,,False,,,application/pdf,,,0,False,1
https://www.oligopolypeptides.com/?opl7_pdf=research-article&item=2243,Duplicate without user-selected canonical,200,200,0,https://www.oligopolypeptides.com/?opl7_pdf=research-article&item=2243,,,False,,,application/pdf,,,0,False,1
https://www.oligopolypeptides.com/?opl7_pdf=research-article&item=2244,Duplicate without user-selected canonical,200,200,0,https://www.oligopolypeptides.com/?opl7_pdf=research-article&item=2244,,,False,,,application/pdf,,,0,False,1
https://www.oligopolypeptides.com/?opl7_pdf=research-article&item=2245,Duplicate without user-selected canonical,200,200,0,https://www.oligopolypeptides.com/?opl7_pdf=research-article&item=2245,,,False,,,application/pdf,,,0,False,1
https://www.oligopolypeptides.com/?opl7_pdf=research-article&item=2246,Duplicate without user-selected canonical,200,200,0,https://www.oligopolypeptides.com/?opl7_pdf=research-article&item=2246,,,False,,,application/pdf,,,0,False,1
https://www.oligopolypeptides.com/?opl7_pdf=research-article&item=2247,Duplicate without user-selected canonical,200,200,0,https://www.oligopolypeptides.com/?opl7_pdf=research-article&item=2247,,,False,,,application/pdf,,,0,False,1
https://www.oligopolypeptides.com/?opl7_pdf=research-article&item=2248,Duplicate without user-selected canonical,200,200,0,https://www.oligopolypeptides.com/?opl7_pdf=research-article&item=2248,,,False,,,application/pdf,,,0,False,1
https://www.oligopolypeptides.com/?opl7_pdf=research-article&item=2249,Duplicate without user-selected canonical,200,200,0,https://www.oligopolypeptides.com/?opl7_pdf=research-article&item=2249,,,False,,,application/pdf,,,0,False,1
https://www.oligopolypeptides.com/?opl7_pdf=research-article&item=2250,Duplicate without user-selected canonical,200,200,0,https://www.oligopolypeptides.com/?opl7_pdf=research-article&item=2250,,,False,,,application/pdf,,,0,False,1
https://www.oligopolypeptides.com/?opl7_pdf=research-article&item=2251,Duplicate without user-selected canonical,200,200,0,https://www.oligopolypeptides.com/?opl7_pdf=research-article&item=2251,,,False,,,application/pdf,,,0,False,1
https://www.oligopolypeptides.com/?opl7_pdf=research-article&item=2252,Duplicate without user-selected canonical,200,200,0,https://www.oligopolypeptides.com/?opl7_pdf=research-article&item=2252,,,False,,,application/pdf,,,0,False,1
https://www.oligopolypeptides.com/?opl7_pdf=research-compound&item=479,Duplicate without user-selected canonical,200,200,0,https://www.oligopolypeptides.com/?opl7_pdf=research-compound&item=479,,,False,,,application/pdf,,,0,False,1
https://www.oligopolypeptides.com/?opl7_pdf=research-compound&item=49,Duplicate without user-selected canonical,200,200,0,https://www.oligopolypeptides.com/?opl7_pdf=research-compound&item=49,,,False,,,application/pdf,,,0,False,1
https://www.oligopolypeptides.com/?opl7_pdf=research-compound&item=815,Duplicate without user-selected canonical,200,200,0,https://www.oligopolypeptides.com/?opl7_pdf=research-compound&item=815,,,False,,,application/pdf,,,0,False,1
https://www.oligopolypeptides.com/?opl7_pdf=research-library,Duplicate without user-selected canonical,200,200,0,https://www.oligopolypeptides.com/?opl7_pdf=research-library,,,False,,,application/pdf,,,0,False,1
https://www.oligopolypeptides.com/?opl7_pdf=research-product-compare,Duplicate without user-selected canonical,200,200,0,https://www.oligopolypeptides.com/?opl7_pdf=research-product-compare,,,False,,,application/pdf,,,0,False,1
https://www.oligopolypeptides.com/?opl7_pdf=research-standards,Duplicate without user-selected canonical,200,200,0,https://www.oligopolypeptides.com/?opl7_pdf=research-standards,,,False,,,application/pdf,,,0,False,1
https://www.oligopolypeptides.com/?product=advanced-multi-pathway-Research Panel,Malformed URL (not crawlable),0,0,0,https://www.oligopolypeptides.com/?product=advanced-multi-pathway-Research Panel,,,False,,,,,,0,False,1
https://www.oligopolypeptides.com/?product=aod-9604,Page with redirect,301,200,2,https://www.oligopolypeptides.com/research-catalog/,https://www.oligopolypeptides.com/products/ -> https://www.oligopolypeptides.com/research-catalog/,https://www.oligopolypeptides.com/research-catalog/,True,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",,text/html,Research Products Catalog | OligoPoly Laboratories,Unlock 20% Off Your First OligoPoly Order,2,False,1
https://www.oligopolypeptides.com/?product=ara-290,Page with redirect,301,200,2,https://www.oligopolypeptides.com/research-catalog/,https://www.oligopolypeptides.com/products/ -> https://www.oligopolypeptides.com/research-catalog/,https://www.oligopolypeptides.com/research-catalog/,True,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",,text/html,Research Products Catalog | OligoPoly Laboratories,Unlock 20% Off Your First OligoPoly Order,2,False,1
https://www.oligopolypeptides.com/?product=bpc-157,Page with redirect,301,200,1,https://www.oligopolypeptides.com/products/bpc-157-10mg-research-peptide/,https://www.oligopolypeptides.com/products/bpc-157-10mg-research-peptide/,https://www.oligopolypeptides.com/products/bpc-157-10mg-research-peptide/,True,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",,text/html,BPC-157 10mg Research Peptide for Lab Research | OligoPoly,Unlock 20% Off Your First OligoPoly Order,2,False,1
https://www.oligopolypeptides.com/?product=bpc-tb-blend,Page with redirect,301,200,2,https://www.oligopolypeptides.com/research-catalog/,https://www.oligopolypeptides.com/products/ -> https://www.oligopolypeptides.com/research-catalog/,https://www.oligopolypeptides.com/research-catalog/,True,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",,text/html,Research Products Catalog | OligoPoly Laboratories,Unlock 20% Off Your First OligoPoly Order,2,False,1
https://www.oligopolypeptides.com/?product=cagrilintide,Page with redirect,301,200,2,https://www.oligopolypeptides.com/research-catalog/,https://www.oligopolypeptides.com/products/ -> https://www.oligopolypeptides.com/research-catalog/,https://www.oligopolypeptides.com/research-catalog/,True,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",,text/html,Research Products Catalog | OligoPoly Laboratories,Unlock 20% Off Your First OligoPoly Order,2,False,1
https://www.oligopolypeptides.com/?product=cjc-1295-dac,Page with redirect,301,200,1,https://www.oligopolypeptides.com/cjc-1295-vs-ipamorelin/,https://www.oligopolypeptides.com/cjc-1295-vs-ipamorelin/,https://www.oligopolypeptides.com/cjc-1295-vs-ipamorelin/,True,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",,text/html,CJC-1295 vs Ipamorelin | GHRH vs GHSR Research | OligoPoly Laboratories,Unlock 20% Off Your First OligoPoly Order,3,False,1
https://www.oligopolypeptides.com/?product=cjc-1295-nodac,Page with redirect,301,200,2,https://www.oligopolypeptides.com/research-catalog/,https://www.oligopolypeptides.com/products/ -> https://www.oligopolypeptides.com/research-catalog/,https://www.oligopolypeptides.com/research-catalog/,True,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",,text/html,Research Products Catalog | OligoPoly Laboratories,Unlock 20% Off Your First OligoPoly Order,2,False,1
https://www.oligopolypeptides.com/?product=follistatin-344,Page with redirect,301,200,2,https://www.oligopolypeptides.com/research-catalog/,https://www.oligopolypeptides.com/products/ -> https://www.oligopolypeptides.com/research-catalog/,https://www.oligopolypeptides.com/research-catalog/,True,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",,text/html,Research Products Catalog | OligoPoly Laboratories,Unlock 20% Off Your First OligoPoly Order,2,False,1
https://www.oligopolypeptides.com/?product=ghk-cu,Page with redirect,301,200,1,https://www.oligopolypeptides.com/products/ghk-cu-50mg-research-peptide/,https://www.oligopolypeptides.com/products/ghk-cu-50mg-research-peptide/,https://www.oligopolypeptides.com/products/ghk-cu-50mg-research-peptide/,True,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",,text/html,GHK-Cu 50mg Research Peptide for Lab Research | OligoPoly,Unlock 20% Off Your First OligoPoly Order,2,False,1
