Top pages,Clicks,Impressions,CTR,Position
https://shop.oligopolypeptides.com/products/selank-5mg-research-peptide/,1,22,4.55%,1.45
https://shop.oligopolypeptides.com/,0,2,0%,1
https://www.oligopolypeptides.com/products/ara-290-10mg-research-peptide/,0,1,0%,1
